year,lgacode,age_range,indigenous_status,gender,number_of_people
2016,35760,0_4,indigenous,f,32
2016,35780,0_4,indigenous,f,186
2016,35790,0_4,indigenous,f,181
2016,35800,0_4,indigenous,f,27
2016,36070,0_4,indigenous,f,30
2016,36150,0_4,indigenous,f,8
2016,36250,0_4,indigenous,f,180
2016,36300,0_4,indigenous,f,4
2016,36370,0_4,indigenous,f,384
2016,36510,0_4,indigenous,f,69
2016,36580,0_4,indigenous,f,49
2016,36630,0_4,indigenous,f,108
2016,36660,0_4,indigenous,f,124
2016,36720,0_4,indigenous,f,281
2016,36820,0_4,indigenous,f,67
2016,36910,0_4,indigenous,f,406
2016,36950,0_4,indigenous,f,113
2016,36960,0_4,indigenous,f,257
2016,37010,0_4,indigenous,f,768
2016,30900,0_4,indigenous,f,4
2016,31000,0_4,indigenous,f,750
2016,31750,0_4,indigenous,f,0
2016,31820,0_4,indigenous,f,204
2016,31900,0_4,indigenous,f,61
2016,31950,0_4,indigenous,f,7
2016,32080,0_4,indigenous,f,782
2016,32250,0_4,indigenous,f,40
2016,32260,0_4,indigenous,f,138
2016,32270,0_4,indigenous,f,92
2016,32310,0_4,indigenous,f,48
2016,32600,0_4,indigenous,f,0
2016,33100,0_4,indigenous,f,3
2016,33200,0_4,indigenous,f,4
2016,32330,0_4,indigenous,f,76
2016,32450,0_4,indigenous,f,30
2016,32500,0_4,indigenous,f,54
2016,37300,0_4,indigenous,f,25
2016,37310,0_4,indigenous,f,123
2016,37340,0_4,indigenous,f,100
2016,41140,0_4,indigenous,f,4
2016,33220,0_4,indigenous,f,238
2016,33360,0_4,indigenous,f,151
2016,33430,0_4,indigenous,f,533
2016,32750,0_4,indigenous,f,0
2016,32770,0_4,indigenous,f,77
2016,32810,0_4,indigenous,f,53
2016,33610,0_4,indigenous,f,39
2016,33620,0_4,indigenous,f,111
2016,33800,0_4,indigenous,f,23
2016,33830,0_4,indigenous,f,38
2016,33960,0_4,indigenous,f,548
2016,33980,0_4,indigenous,f,64
2016,34420,0_4,indigenous,f,33
2016,34530,0_4,indigenous,f,68
2016,34570,0_4,indigenous,f,33
2016,34580,0_4,indigenous,f,89
2016,34590,0_4,indigenous,f,660
2016,37550,0_4,indigenous,f,57
2016,37400,0_4,indigenous,f,0
2016,37570,0_4,indigenous,f,15
2016,37600,0_4,indigenous,f,137
2016,40070,0_4,indigenous,f,10
2016,40120,0_4,indigenous,f,7
2016,40220,0_4,indigenous,f,22
2016,41060,0_4,indigenous,f,82
2016,41190,0_4,indigenous,f,0
2016,41330,0_4,indigenous,f,14
2016,40250,0_4,indigenous,f,89
2016,40310,0_4,indigenous,f,4
2016,40430,0_4,indigenous,f,0
2016,40520,0_4,indigenous,f,19
2016,40700,0_4,indigenous,f,5
2016,40910,0_4,indigenous,f,9
2016,41010,0_4,indigenous,f,46
2016,41560,0_4,indigenous,f,26
2016,41750,0_4,indigenous,f,8
2016,42030,0_4,indigenous,f,20
2016,42110,0_4,indigenous,f,0
2016,42250,0_4,indigenous,f,4
2016,42600,0_4,indigenous,f,8
2016,42750,0_4,indigenous,f,0
2016,43080,0_4,indigenous,f,0
2016,43650,0_4,indigenous,f,11
2016,43710,0_4,indigenous,f,3
2016,41830,0_4,indigenous,f,14
2016,41960,0_4,indigenous,f,3
2016,43220,0_4,indigenous,f,0
2016,43360,0_4,indigenous,f,0
2016,43790,0_4,indigenous,f,13
2016,43920,0_4,indigenous,f,4
2016,44000,0_4,indigenous,f,0
2016,44060,0_4,indigenous,f,38
2016,44210,0_4,indigenous,f,12
2016,44340,0_4,indigenous,f,20
2016,44550,0_4,indigenous,f,25
2016,44620,0_4,indigenous,f,41
2016,44830,0_4,indigenous,f,6
2016,45040,0_4,indigenous,f,59
2016,45890,0_4,indigenous,f,144
2016,46090,0_4,indigenous,f,125
2016,45090,0_4,indigenous,f,6
2016,45120,0_4,indigenous,f,4
2016,45290,0_4,indigenous,f,10
2016,45340,0_4,indigenous,f,162
2016,45400,0_4,indigenous,f,0
2016,45540,0_4,indigenous,f,8
2016,45680,0_4,indigenous,f,224
2016,46300,0_4,indigenous,f,34
2016,46450,0_4,indigenous,f,37
2016,46510,0_4,indigenous,f,3
2016,46670,0_4,indigenous,f,16
2016,46860,0_4,indigenous,f,0
2016,46970,0_4,indigenous,f,5
2016,47140,0_4,indigenous,f,143
2016,47290,0_4,indigenous,f,3
2016,47490,0_4,indigenous,f,0
2016,47630,0_4,indigenous,f,3
2016,47700,0_4,indigenous,f,45
2016,47800,0_4,indigenous,f,21
2016,47910,0_4,indigenous,f,3
2016,48340,0_4,indigenous,f,7
2016,48410,0_4,indigenous,f,29
2016,48540,0_4,indigenous,f,64
2016,47980,0_4,indigenous,f,8
2016,48050,0_4,indigenous,f,13
2016,48130,0_4,indigenous,f,4
2016,49399,0_4,indigenous,f,20
2016,51960,0_4,indigenous,f,24
2016,52030,0_4,indigenous,f,0
2016,50080,0_4,indigenous,f,38
2016,50210,0_4,indigenous,f,150
2016,50250,0_4,indigenous,f,49
2016,50280,0_4,indigenous,f,7
2016,48260,0_4,indigenous,f,0
2016,48640,0_4,indigenous,f,0
2016,48750,0_4,indigenous,f,3
2016,48830,0_4,indigenous,f,15
2016,50350,0_4,indigenous,f,14
2016,50420,0_4,indigenous,f,50
