year,lgacode,weekly_income_range,indigenous_status,number_of_household
2016,14750,1_149,indigenous,0
2016,14850,1_149,indigenous,10
2016,14870,1_149,indigenous,5
2016,14900,1_149,indigenous,12
2016,14920,1_149,indigenous,3
2016,14950,1_149,indigenous,0
2016,15050,1_149,indigenous,12
2016,15240,1_149,indigenous,28
2016,15270,1_149,indigenous,10
2016,15300,1_149,indigenous,13
2016,15350,1_149,indigenous,0
2016,15520,1_149,indigenous,0
2016,15560,1_149,indigenous,0
2016,15650,1_149,indigenous,11
2016,15700,1_149,indigenous,3
2016,15750,1_149,indigenous,9
2016,15800,1_149,indigenous,0
2016,15850,1_149,indigenous,6
2016,15900,1_149,indigenous,29
2016,15950,1_149,indigenous,0
2016,15990,1_149,indigenous,8
2016,16100,1_149,indigenous,0
2016,16150,1_149,indigenous,17
2016,16200,1_149,indigenous,11
2016,16260,1_149,indigenous,14
2016,16350,1_149,indigenous,19
2016,16380,1_149,indigenous,3
2016,16400,1_149,indigenous,11
2016,16490,1_149,indigenous,4
2016,16550,1_149,indigenous,13
2016,16610,1_149,indigenous,0
2016,16650,1_149,indigenous,6
2016,16700,1_149,indigenous,0
2016,16900,1_149,indigenous,8
2016,16950,1_149,indigenous,19
2016,17000,1_149,indigenous,3
2016,17040,1_149,indigenous,8
2016,17080,1_149,indigenous,7
2016,17100,1_149,indigenous,0
2016,17150,1_149,indigenous,16
2016,17200,1_149,indigenous,27
2016,17310,1_149,indigenous,19
2016,17350,1_149,indigenous,0
2016,17400,1_149,indigenous,6
2016,17420,1_149,indigenous,0
2016,17550,1_149,indigenous,9
2016,17620,1_149,indigenous,3
2016,17640,1_149,indigenous,0
2016,17650,1_149,indigenous,0
2016,17750,1_149,indigenous,24
2016,17850,1_149,indigenous,7
2016,17900,1_149,indigenous,11
2016,17950,1_149,indigenous,3
2016,18020,1_149,indigenous,4
2016,18050,1_149,indigenous,0
2016,18100,1_149,indigenous,0
2016,18200,1_149,indigenous,3
2016,18230,1_149,indigenous,34
2016,18250,1_149,indigenous,0
2016,18350,1_149,indigenous,5
2016,18400,1_149,indigenous,3
2016,18450,1_149,indigenous,26
2016,18500,1_149,indigenous,0
2016,18710,1_149,indigenous,3
2016,19399,1_149,indigenous,0
2016,19499,1_149,indigenous,0
2016,19799,1_149,indigenous,0
2016,20110,1_149,indigenous,0
2016,20260,1_149,indigenous,0
2016,20570,1_149,indigenous,7
2016,20660,1_149,indigenous,7
2016,20740,1_149,indigenous,3
2016,20830,1_149,indigenous,3
2016,20910,1_149,indigenous,0
2016,21010,1_149,indigenous,0
2016,21110,1_149,indigenous,3
2016,21180,1_149,indigenous,0
2016,21270,1_149,indigenous,0
2016,21370,1_149,indigenous,11
2016,21450,1_149,indigenous,3
2016,21610,1_149,indigenous,9
2016,21670,1_149,indigenous,0
2016,21750,1_149,indigenous,0
2016,21830,1_149,indigenous,0
2016,21890,1_149,indigenous,14
2016,22110,1_149,indigenous,4
2016,22170,1_149,indigenous,8
2016,22250,1_149,indigenous,0
2016,22310,1_149,indigenous,0
2016,22410,1_149,indigenous,4
2016,22490,1_149,indigenous,0
2016,22620,1_149,indigenous,18
2016,22670,1_149,indigenous,7
2016,22750,1_149,indigenous,18
2016,22830,1_149,indigenous,7
2016,22910,1_149,indigenous,3
2016,22980,1_149,indigenous,0
2016,23110,1_149,indigenous,0
2016,23190,1_149,indigenous,0
2016,23270,1_149,indigenous,3
2016,23350,1_149,indigenous,3
2016,23430,1_149,indigenous,4
2016,23670,1_149,indigenous,4
2016,23810,1_149,indigenous,6
2016,23940,1_149,indigenous,0
2016,24130,1_149,indigenous,0
2016,24210,1_149,indigenous,0
2016,24250,1_149,indigenous,0
2016,24330,1_149,indigenous,3
2016,24410,1_149,indigenous,3
2016,24600,1_149,indigenous,3
2016,24650,1_149,indigenous,9
2016,24780,1_149,indigenous,8
2016,24850,1_149,indigenous,6
2016,24900,1_149,indigenous,0
2016,24970,1_149,indigenous,3
2016,25060,1_149,indigenous,4
2016,25150,1_149,indigenous,3
2016,25250,1_149,indigenous,3
2016,25340,1_149,indigenous,0
2016,25430,1_149,indigenous,0
2016,25490,1_149,indigenous,0
2016,25620,1_149,indigenous,3
2016,25710,1_149,indigenous,0
2016,25810,1_149,indigenous,0
2016,25900,1_149,indigenous,3
2016,25990,1_149,indigenous,0
2016,26080,1_149,indigenous,0
2016,26170,1_149,indigenous,0
2016,26260,1_149,indigenous,3
2016,26350,1_149,indigenous,0
2016,26430,1_149,indigenous,0
2016,26490,1_149,indigenous,0
2016,26610,1_149,indigenous,3
2016,26670,1_149,indigenous,0
2016,26700,1_149,indigenous,3
2016,26730,1_149,indigenous,3
2016,26810,1_149,indigenous,3
